BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions
NonResidential,Worship Facility,St. Therese Parish,3416 E. Marion,98122.0,9184700280,3,CENTRAL,47.61118,-122.288,1900,1.0,1,21850,0,21850,Worship Facility,Worship Facility,21850.0,None,0.0,None,0.0,100.0,23.10000038,317794.4063,0.0,82056.0,235738.0,False,Compliant,13.09
NonResidential,Mixed Use Property,YouthCare,5401 26th Ave NE,98105.0,9191201460,4,NORTHEAST,47.66827,-122.29978,1997,1.0,4,32282,6985,25297,"Multifamily Housing, Office, Other, Parking",Multifamily Housing,12600.0,Parking,6985.0,Other,6576.0,93.0,128.1000061,1391714.25,0.0,851657.0,540057.0,False,Compliant,34.62
NonResidential,Large Office,Waterfront Place,1011 Western Ave,98104.0,9195900000,7,DOWNTOWN,47.60449,-122.33803,1983,1.0,13,307557,83064,224493,"Multifamily Housing, Office, Parking, Retail Store",Office,162422.0,Parking,83064.0,Multifamily Housing,55065.0,86.0,128.0,9512829.0,0.0,9512827.0,0.0,False,Compliant,66.32
NonResidential,Self-Storage Facility,FremontBridgeMini,319 Nickerson St,98109.0,5244800055,7,MAGNOLIA / QUEEN ANNE,47.64633,-122.3508,1918,1.0,2,28309,0,28309,Self-Storage Facility,Self-Storage Facility,28309.0,None,0.0,None,0.0,76.0,33.59999847,430309.0,0.0,238481.0,191828.0,False,Compliant,11.85
NonResidential,Hotel,Pioneer Square Hotel,77 Yesler Way,98104.0,5247800005,7,DOWNTOWN,47.60154,-122.3352,1914,1.0,4,45500,0,45500,Hotel,Hotel,45500.0,None,0.0,None,0.0,77.0,116.9000015,2799595.0,941139.6875,1069553.0,788902.0,False,Compliant,122.0
NonResidential,Small- and Mid-Sized Office,The Maynard Building,119 1st Ave. S.,98104.0,5247800035,7,DOWNTOWN,47.60106,-122.33458,1900,1.0,5,38376,0,38376,"Office, Retail Store",Office,29258.0,Retail Store,2409.0,None,0.0,73.0,204.1000061,2058533.0,0.0,2058533.0,0.0,False,Compliant,14.35
NonResidential,Small- and Mid-Sized Office,Gatzert/Schwabacher,103 1st Ave,98104.0,5247800046,7,DOWNTOWN,47.60149,-122.33458,1900,1.0,4,42804,0,42804,"Office, Retail Store",Office,24120.0,Retail Store,6583.0,None,0.0,73.0,105.1999969,1544502.0,0.0,769417.0,775085.0,False,Compliant,46.53
NonResidential,Mixed Use Property,Compass Housing Alliance - Pioneer Square,210 Alaskan Way S / 77 S. Washington St,98104.0,5247800080,7,DOWNTOWN,47.6005,-122.33514,2005,0.0,5,57600,0,57600,"Financial Office, Multifamily Housing, Parking, Residence Hall/Dormitory",Residence Hall/Dormitory,27600.0,Multifamily Housing,16000.0,Financial Office,7000.0,59.0,277.0,6983736.0,0.0,3197921.0,3785814.0,False,Compliant,223.36
NonResidential,Small- and Mid-Sized Office,New England,319 1st Ave,98104.0,5247800105,7,DOWNTOWN,47.60023,-122.33459,1900,1.0,4,33300,0,33300,"Office, Restaurant, Retail Store, Self-Storage Facility",Office,26639.0,Restaurant,2820.0,Retail Store,2377.0,73.0,108.0999985,1287497.375,0.0,1075503.0,211994.0,False,Compliant,18.76
NonResidential,Hotel,J & M HOTEL BUILDING (ID25553),210 1St Ave S,98104.0,5247800130,7,DOWNTOWN,47.60035,-122.33379,1900,1.0,3,25450,0,25450,Hotel,Hotel,25450.0,None,0.0,None,0.0,99.0,62.20000076,503745.0,0.0,503745.0,0.0,False,Non-Compliant,3.51
NonResidential,Other,Alaskan Way,304 Alaskan Way S,98104.0,5247800140,7,DOWNTOWN,47.59976,-122.33514,1900,1.0,3,22200,0,22200,Other,Other,22200.0,None,0.0,None,0.0,89.0,15.0,188746.0,0.0,64453.0,124293.0,False,Compliant,7.05
NonResidential,Warehouse,Nautical Landing,2500 Westlake Ave N,98109.0,4088804350,7,MAGNOLIA / QUEEN ANNE,47.64306,-122.34219,1968,1.0,2,29498,0,29498,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,19749.0,Office,9148.0,None,0.0,60.0,372.2999878,3768900.5,0.0,3253683.0,515217.0,False,Compliant,50.05
NonResidential,Warehouse,1109 N NORTHLAKE WAY,1109 N NORTHLAKE WAY,98103.0,4088804520,4,LAKE UNION,47.64793,-122.34358,1938,1.0,1,23050,0,23050,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,23050.0,None,0.0,None,0.0,27.0,63.59999847,466673.0,0.0,466673.0,0.0,False,Compliant,3.25
NonResidential,Small- and Mid-Sized Office,Talon Northlake LLC,1341 N Northlake Way,98103.0,4088804565,4,LAKE UNION,47.64747,-122.34086,2008,1.0,4,48350,0,48350,Office,Office,49825.0,None,0.0,None,0.0,45.0,226.6000061,3168131.0,0.0,3168131.0,0.0,False,Compliant,22.09
NonResidential,Retail Store,PETCO,809 NE 45 STREET,98105.0,4092300005,4,NORTHEAST,47.66097,-122.3192,1930,1.0,1,46059,0,46059,Retail Store,Retail Store,46000.0,None,0.0,None,0.0,82.0,98.59999847,1582656.0,0.0,1374074.0,208582.0,False,Compliant,20.66
NonResidential,Medical Office,Seattle Healing Arts,6300 9th Ave NE,98115.0,9221400445,4,NORTHEAST,47.67437,-122.3181,1970,1.0,2,23595,0,23595,Medical Office,Medical Office,23595.0,None,0.0,None,0.0,72.0,107.1999969,817410.0,0.0,799401.0,18009.0,False,Compliant,6.53
NonResidential,Small- and Mid-Sized Office,Herman Blumenthal Building,122 South Jackson,98104.0,5247800350,7,DOWNTOWN,47.59938,-122.33328,1900,1.0,3,28142,0,28142,Office,Office,28142.0,None,0.0,None,0.0,96.0,64.19999695,847097.8125,340615.5938,414101.0,92381.0,False,Compliant,34.08
NonResidential,Small- and Mid-Sized Office,The Occidental Building,311 Occidental Ave. S.,98104.0,5247800355,7,DOWNTOWN,47.59954,-122.33327,1900,1.0,3,28760,0,28760,"Non-Refrigerated Warehouse, Office, Retail Store",Office,12314.0,Retail Store,6020.0,Non-Refrigerated Warehouse,6000.0,73.0,165.1999969,2615973.8125,500752.8125,572200.0,1543021.0,False,Compliant,124.59
NonResidential,Small- and Mid-Sized Office,Union Trust Building,119 S. Main Street,98104.0,5247800360,7,DOWNTOWN,47.59979,-122.33318,1902,1.0,4,39030,0,39030,"Office, Retail Store",Office,32001.0,Retail Store,6685.0,None,0.0,99.0,47.70000076,713327.0,0.0,524342.0,188985.0,False,Compliant,13.69
NonResidential,Small- and Mid-Sized Office,Buttnick City Loan,206 1st Avenue South,98104.0,5247800380,7,DOWNTOWN,47.60071,-122.33377,1909,0.0,3,47215,0,47215,"Office, Retail Store",Office,23659.0,Retail Store,22376.0,None,0.0,58.0,131.6000061,2589388.0,0.0,1597575.0,991813.0,False,Compliant,63.81
Nonresidential COS,Other,East Precinct,1519 12th Ave,98122.0,6003500315,3,EAST,47.61492,-122.31728,1926,1.0,2,61580,27000,34580,"Other, Parking",Other,36280.0,Parking,23154.0,None,0.0,89.0,313.2000122,4199443.0,0.0,3327045.0,872398.0,False,Compliant,69.53
NonResidential,Small- and Mid-Sized Office,Ballou Wright Building,1517 12th Ave,98122.0,6003500330,3,EAST,47.61459,-122.31724,1917,1.0,3,30720,0,30720,"Office, Retail Store",Office,29720.0,Retail Store,1000.0,None,0.0,73.0,107.3000031,1288669.5,0.0,930084.0,358585.0,False,Compliant,25.53
NonResidential,Mixed Use Property,(ID25666) POST OPTIONS,1122 E PIKE ST,98122.0,6003500340,3,EAST,47.61428,-122.31726,1916,1.0,2,20640,0,20640,"Office, Restaurant, Retail Store",Retail Store,9750.0,Office,9212.0,Restaurant,2450.0,65.0,60.5,412562.4063,0.0,412562.0,0.0,False,Compliant,2.88
NonResidential,Mixed Use Property,Pike Building,1000 E Pike St,98122.0,6003500345,3,EAST,47.61421,-122.3193,1912,1.0,2,34914,0,34914,"Office, Restaurant, Retail Store",Retail Store,14983.0,Restaurant,10638.0,Office,5837.0,65.0,133.1000061,1333290.0,0.0,1333290.0,0.0,False,Compliant,9.29
NonResidential,Small- and Mid-Sized Office,Legacy Pine Street,1535 11th Ave,98122.0,6003500395,3,EAST,47.61508,-122.31845,1906,1.0,3,20897,0,20897,"Non-Refrigerated Warehouse, Office, Retail Store",Office,10228.0,Retail Store,3433.0,Non-Refrigerated Warehouse,3400.0,73.0,148.1999969,964924.0,0.0,725243.0,239681.0,False,Compliant,17.79
NonResidential,Retail Store,Capital Hill,1525 11th Ave,98122.0,6003500420,3,EAST,47.61478,-122.31847,1916,1.0,2,36940,0,36940,Retail Store,Retail Store,36940.0,None,0.0,None,0.0,100.0,28.60000038,336745.4063,0.0,336745.0,0.0,False,Compliant,2.35
NonResidential,Small- and Mid-Sized Office,Ten Sixteen East Pike Inc,1016 East Pike,98122.0,6003500440,3,EAST,47.61435,-122.31859,1913,1.0,3,22866,0,22866,Office,Office,22866.0,None,0.0,None,0.0,73.0,133.1999969,1153690.125,0.0,877955.0,275735.0,False,Compliant,20.76
NonResidential,Retail Store,The Ford Building,1521 10th Ave,98122.0,6003500470,3,EAST,47.61466,-122.31984,1920,1.0,1,30240,0,30240,"Restaurant, Retail Store",Retail Store,32205.0,Restaurant,714.0,None,0.0,78.0,107.6999969,1264627.0,0.0,1061362.0,203265.0,False,Compliant,18.19
NonResidential,Other,W00342,801 NE 42ND,98105.0,4092301550,4,NORTHEAST,47.65729,-122.31937,1962,1.0,2,28586,0,28586,Other,Other,27022.0,None,0.0,None,0.0,89.0,590.0999756,5078204.0,0.0,5078203.0,0.0,False,Compliant,35.4
NonResidential,Hotel,Weller & Second Associates,670 S. Weller Street,98104.0,5247802370,2,DOWNTOWN,47.59766,-122.32394,1908,1.0,3,28800,0,28800,"Hotel, Restaurant",Hotel,21600.0,Restaurant,7200.0,None,0.0,63.0,257.7000122,4644346.0,0.0,1218294.0,3426052.0,False,Compliant,190.45
NonResidential,Restaurant,BUSH GARDEN - RESTURANT & LOUNGE,614 S MAYNARD AVE S,98104.0,5247802410,2,DOWNTOWN,47.59697,-122.32474,1913,1.0,3,28800,0,28800,Restaurant,Restaurant,23046.0,None,0.0,None,0.0,76.0,62.0,899924.1875,0.0,402907.0,497017.0,False,Compliant,29.21
NonResidential,Small- and Mid-Sized Office,International Building,666 S. Dearborn St,98104.0,5247802530,2,DOWNTOWN,47.59644,-122.32415,1979,1.0,3,35202,0,35202,"Bank Branch, Office",Office,24227.0,Bank Branch,9127.0,None,0.0,2.0,339.5,3605755.5,0.0,3605755.0,0.0,False,Compliant,25.14
NonResidential,Senior Care Community,FAERLAND TERRACE,1421 MINOR AVE,98101.0,8725600380,7,EAST,47.61318,-122.32747,1969,1.0,6,95117,26082,69035,"Parking, Senior Care Community",Senior Care Community,69035.0,Parking,26082.0,None,0.0,1.0,239.8999939,7202141.5,0.0,4307003.0,2895138.0,False,Compliant,183.79
NonResidential,Worship Facility,(ID25743) FIRST COVENANT CHURCH,400 E PIKE ST,98122.0,8725600475,3,EAST,47.61426,-122.32661,1910,1.0,2,24600,0,24600,Worship Facility,Worship Facility,24600.0,None,0.0,None,0.0,69.0,36.09999847,331060.0,0.0,258312.0,72748.0,False,Compliant,5.66
NonResidential,Worship Facility,Trinity Parish of Seattle,609 8th Ave,98104.0,8590400490,3,EAST,47.60514,-122.32613,1900,1.0,1,48850,0,48850,"Office, Other, Worship Facility",Worship Facility,28725.0,Office,4325.0,Other,3700.0,73.0,47.40000153,1063480.5,815676.125,239923.0,7881.0,False,Compliant,65.05
NonResidential,Hospital,Park West Skilled Nursing,1703 California Ave SW,98116.0,9274200430,1,SOUTHWEST,47.58767,-122.38672,1961,0.0,3,54863,0,54863,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),109726.0,None,0.0,None,0.0,100.0,58.29999924,2037720.625,0.0,2037720.0,0.0,False,Compliant,14.21
NonResidential,Warehouse,J D OTT COMPANY (115 S Lucile St),115 S Lucile St,98108.0,5263300725,2,GREATER DUWAMISH,47.55317,-122.33289,1964,1.0,1,25000,0,25000,"Food Sales, Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,13393.0,Food Sales,7500.0,Office,4107.0,60.0,155.6000061,1989104.0,0.0,861621.0,1127483.0,False,Compliant,65.89
NonResidential,Warehouse,115 Dawson,115 S Dawson St,98134.0,5263300910,2,GREATER DUWAMISH,47.55544,-122.33294,1960,1.0,1,25000,0,25000,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,24000.0,Office,1000.0,None,0.0,60.0,24.10000038,287132.5,0.0,143797.0,143335.0,False,Compliant,8.61
NonResidential,Other,Washington machine Works,5201/5211 1st ave so.,98108.0,5263300985,2,GREATER DUWAMISH,47.55523,-122.33448,1927,1.0,1,22622,0,22622,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,23000.0,None,0.0,None,0.0,89.0,64.0,774076.0,0.0,315436.0,458640.0,False,Compliant,26.56
NonResidential,Small- and Mid-Sized Office,Pine Building,400 East Pine Street,98122.0,8725600520,3,EAST,47.61543,-122.32657,1917,1.0,3,27544,0,27544,"Office, Parking",Office,22365.0,Parking,3744.0,None,0.0,94.0,124.0999985,1031668.0,0.0,810115.0,221553.0,False,Compliant,17.41
NonResidential,Small- and Mid-Sized Office,H2125 - Western Triangle,2125 Western Avenue,98121.0,9292600000,7,DOWNTOWN,47.61161,-122.34592,1989,1.0,7,47415,0,47415,"Multifamily Housing, Office, Other - Entertainment/Public Assembly, Parking",Office,25884.0,Parking,7000.0,Multifamily Housing,5713.0,73.0,136.3999939,1478979.25,0.0,1478979.0,0.0,False,Compliant,10.31
NonResidential,Other,Swedish Cultural Center,1920 Dexter Ave N,98109.0,9301300445,7,MAGNOLIA / QUEEN ANNE,47.63644,-122.34218,1961,1.0,3,22960,0,22960,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,22960.0,None,0.0,None,0.0,89.0,153.0,2266983.0,0.0,542327.0,1724655.0,False,Compliant,95.38
NonResidential,Supermarket / Grocery Store,Safeway 1551 - E John St,1410 E John St,98112.0,6003501820,3,EAST,47.62048,-122.31386,1998,1.0,1,44739,0,44739,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,44739.0,Parking,0.0,None,0.0,17.0,728.7000122,14585813.0,0.0,8270312.0,6315500.0,False,Compliant,393.07
NonResidential,Mixed Use Property,SPBS LLC,5424 Sand Point Way NE,98105.0,6012500051,4,NORTHEAST,47.66816,-122.27706,1948,1.0,1,22778,0,22778,"Medical Office, Office, Other, Restaurant, Retail Store",Retail Store,21194.0,Office,12923.0,Restaurant,3720.0,65.0,70.0,2470566.0,0.0,224359.0,2246207.0,False,Compliant,120.86
NonResidential,Worship Facility,Philadelphia church,7704 24th Ave NW,98117.0,6021503160,6,BALLARD,47.68517,-122.38733,1956,1.0,2,21562,0,21562,"Pre-school/Daycare, Worship Facility",Worship Facility,21052.0,Pre-school/Daycare,400.0,None,0.0,20.0,60.90000153,866806.0,0.0,189790.0,677016.0,False,Compliant,37.28
NonResidential,Other,MLK Community Center,3201 E Republican,98122.0,5317100295,3,CENTRAL,47.62322,-122.29006,1959,1.0,1,25753,0,25753,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,25753.0,None,0.0,None,0.0,89.0,75.0,1378130.25,0.0,231543.0,1146587.0,False,Compliant,62.51
NonResidential,Other,Seattle Tennis Club,922 McGilvra Blvd E,98112.0,5317100844,3,EAST,47.62816,-122.28067,1928,1.0,3,71280,0,71280,Other - Recreation,Other - Recreation,71280.0,None,0.0,None,0.0,89.0,556.0999756,22767828.0,0.0,7528486.0,15239341.0,False,Compliant,861.85
SPS-District K-12,K-12 School,McGilvra Elementary,1617 38th Ave. E.,98112.0,5318100820,3,EAST,47.63408,-122.28483,1925,1.0,3,38297,0,38297,K-12 School,K-12 School,38297.0,None,0.0,None,0.0,85.0,84.69999695,1845151.0,0.0,624583.0,1220568.0,True,Error - Correct Default Data,69.18
NonResidential,Senior Care Community,Park Shore Senior Living,1630 43rd Ave. E.,98112.0,5318102110,3,EAST,47.63429,-122.27652,1963,1.0,16,153312,0,153312,"Parking, Senior Care Community, Worship Facility",Senior Care Community,148590.0,Parking,72317.0,Worship Facility,4722.0,51.0,159.6000061,20628681.0,0.0,6566843.0,14061838.0,False,Compliant,792.6
NonResidential,Mixed Use Property,2201 / Enso Condominiums - SEDO,2201 9th Ave. / 820 Blanchard St.,98121.0,8729760000,7,DOWNTOWN,47.61811,-122.33908,2009,1.0,19,1206670,201857,1004813,"Multifamily Housing, Office, Parking, Restaurant",Office,319361.0,Multifamily Housing,181047.0,Parking,177210.0,87.0,153.3999939,27684480.0,0.0,23343425.0,4341053.0,False,Compliant,393.29
NonResidential,Worship Facility,IGLESIA NI CRISTO,7100 42ND AVENUE SOUTH,98118.0,8800000005,2,SOUTHEAST,47.53857,-122.28026,1968,1.0,1,24200,0,24200,"Parking, Worship Facility",Worship Facility,24200.0,Parking,0.0,None,0.0,73.0,76.09999847,826489.0,0.0,466335.0,360154.0,False,Compliant,22.38
NonResidential,Self-Storage Facility,Stor-More Self Storage,2850 SW Yancy Street,98126.0,9358000450,1,DELRIDGE,47.56785,-122.37039,1994,1.0,3,66610,0,66610,Self-Storage Facility,Self-Storage Facility,66720.0,None,0.0,None,0.0,76.0,20.39999962,640377.0,0.0,329414.0,310963.0,False,Compliant,18.81
NonResidential,Other,Cascade Designs Inc. Chamonix S,130 S Dakota,98134.0,6172900220,2,GREATER DUWAMISH,47.56774,-122.33289,1950,1.0,1,36000,0,36000,"Office, Other",Other,34000.0,Office,1400.0,None,0.0,89.0,280.7000122,3646053.75,0.0,2922836.0,723217.0,False,Compliant,58.79
NonResidential,K-12 School,Christ the King Middle School,421 N. 117th,98133.0,6140100225,5,NORTHWEST,47.71387,-122.3535,1938,1.0,2,23222,0,23222,K-12 School,K-12 School,15006.0,None,0.0,None,0.0,62.0,114.6999969,1219863.125,0.0,210763.0,1009100.0,False,Compliant,55.06
NonResidential,Mixed Use Property,Greenus Building,500 E Pike St,98122.0,8804900865,3,EAST,47.61426,-122.3253,1924,1.0,2,24476,0,24476,"Fitness Center/Health Club/Gym, Office, Other, Other - Utility, Restaurant, Retail Store",Fitness Center/Health Club/Gym,7501.0,Office,5872.0,Retail Store,5375.0,59.0,211.1999969,2662054.25,0.0,1077101.0,1584953.0,False,Compliant,91.69
NonResidential,Retail Store,517 E Pike St Building,517 E Pike St   Upper Level,98122.0,8804900910,3,EAST,47.61386,-122.32481,1910,0.0,2,24750,0,24750,"Medical Office, Office, Retail Store",Retail Store,19240.0,Office,2050.0,Medical Office,1250.0,75.0,63.5,782344.0,0.0,292118.0,490226.0,False,Compliant,28.07
NonResidential,K-12 School,Northwest School,1415 Summit Avenue,98122.0,8804901000,3,EAST,47.61339,-122.32594,1904,1.0,3,60000,0,60000,K-12 School,K-12 School,48783.0,None,0.0,None,0.0,52.0,143.8999939,3625407.5,0.0,1537012.0,2088395.0,False,Compliant,121.63
NonResidential,Other,(ID26126) THE SUMMIT,420 E PIKE ST,98122.0,8804901025,3,EAST,47.61449,-122.32592,1954,1.0,2,46560,0,46560,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,46560.0,None,0.0,None,0.0,89.0,34.40000153,690558.0,0.0,419713.0,270845.0,False,Compliant,17.31
NonResidential,Other,Salal Credit Union,1515 Dexter Ave. N.,98109.0,8807900070,7,MAGNOLIA / QUEEN ANNE,47.63303,-122.34268,1980,1.0,3,30408,0,30408,"Bank Branch, Parking",Bank Branch,25000.0,Parking,5408.0,None,0.0,61.0,180.8999939,1440554.25,0.0,1440554.0,0.0,False,Compliant,10.04
NonResidential,Small- and Mid-Sized Office,McHugh,1725 Westlake Ave. N,98109.0,8807900390,7,MAGNOLIA / QUEEN ANNE,47.63439,-122.34078,1920,1.0,3,30109,0,30109,"Office, Parking",Office,28400.0,Parking,7200.0,None,0.0,89.0,124.0999985,1465796.0,0.0,949635.0,516161.0,False,Compliant,34.03
SPS-District K-12,K-12 School,Fairmount Park Elementary,3800 S.W. Findlay,98126.0,9396700035,1,SOUTHWEST,47.55257,-122.38019,1964,1.0,2,39929,0,39929,K-12 School,K-12 School,39929.0,None,0.0,None,0.0,82.0,103.4000015,1813718.0,0.0,1065111.0,748607.0,True,Error - Correct Default Data,47.18
NonResidential,Small- and Mid-Sized Office,Queen Anne Evangelical Lutheran Church,2400 8th Ave W,98119.0,9405800065,7,MAGNOLIA / QUEEN ANNE,47.63985,-122.36712,1960,1.0,2,25481,0,25481,Office,Office,25481.0,None,0.0,None,0.0,92.0,55.79999924,917100.3125,0.0,219291.0,697809.0,False,Compliant,38.59
NonResidential,Senior Care Community,Caroline Kline Galland Home,7500 Seward Park Ave S,98118.0,9412400225,2,SOUTHEAST,47.53515,-122.26556,1967,1.0,1,141297,0,141297,Senior Care Community,Senior Care Community,141297.0,None,0.0,None,0.0,76.0,244.8999939,19423344.0,0.0,6797882.0,12625460.0,False,Compliant,717.93
NonResidential,Small- and Mid-Sized Office,Supply Laundry Building,1265 Republican St.,98109.0,6849200110,7,LAKE UNION,47.62298,-122.33082,1912,1.0,2,27788,0,27788,"Office, Other - Restaurant/Bar",Office,32610.0,Other - Restaurant/Bar,4874.0,None,0.0,73.0,151.8999939,2119806.25,0.0,1659964.0,459842.0,False,Compliant,35.99
NonResidential,Hotel,Comfort Inn and Suites,13700 Aurora Ave. N.,98133.0,6149700055,5,NORTHWEST,47.729,-122.34473,1990,1.0,4,41704,8584,33120,Hotel,Hotel,41704.0,None,0.0,None,0.0,73.0,97.5,1943899.25,0.0,969192.0,974707.0,False,Compliant,58.52
NonResidential,Warehouse,101 S. Dakota,101 S. Dakota,98134.0,6172900280,2,GREATER DUWAMISH,47.56683,-122.33358,1941,1.0,2,22324,0,22324,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,21000.0,None,0.0,None,0.0,53.0,48.70000076,588856.125,0.0,193898.0,394958.0,False,Compliant,22.33
NonResidential,Other,4130 1st Ave,4130 1st Ave South,98134.0,6172900300,2,GREATER DUWAMISH,47.5661,-122.33358,1946,1.0,2,31360,0,31360,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,32000.0,None,0.0,None,0.0,89.0,130.1999969,1725108.25,0.0,1126394.0,598714.0,False,Compliant,39.65
NonResidential,Mixed Use Property,Daniel Smith Inc,4150 1st Avenue South,98134.0,6172900320,2,GREATER DUWAMISH,47.56555,-122.33362,1947,1.0,1,30496,0,30496,"Manufacturing/Industrial Plant, Office, Retail Store",Retail Store,14344.0,Manufacturing/Industrial Plant,10272.0,Office,8012.0,65.0,147.1000061,1992158.25,0.0,1295854.0,696304.0,False,Compliant,46.01
NonResidential,Small- and Mid-Sized Office,1605 Boylston,610 E Pine Street,98122.0,8804900480,3,EAST,47.61545,-122.3238,1922,1.0,3,27600,0,27600,"Office, Retail Store",Office,13175.0,Retail Store,9175.0,None,0.0,84.0,140.3000031,1072151.375,0.0,961739.0,110412.0,False,Compliant,12.57
NonResidential,Senior Care Community,Columbia Lutheran Home,4700 Phinney Avenue North,98103.0,9521100080,6,Northwest,47.66312,-122.35311,1961,1.0,2,55974,0,55974,Senior Care Community,Senior Care Community,56000.0,None,0.0,None,0.0,98.0,214.1999969,6135173.0,0.0,2657803.0,3477370.0,False,Compliant,203.21
SPS-District K-12,K-12 School,Wing Luke Elementary,3701 S. Kenyon St.,98118.0,4006000598,2,GREATER DUWAMISH,47.53074,-122.28491,1971,1.0,2,52901,0,52901,K-12 School,K-12 School,52901.0,None,0.0,None,0.0,75.0,94.80000305,2240342.0,0.0,1273997.0,966345.0,True,Error - Correct Default Data,60.2
NonResidential,Senior Care Community,Saint Anne Nursing and Rehab Center,3540 NE 110th St,98125.0,4077800532,5,NORTH,47.70883,-122.28887,1954,1.0,1,22583,0,22583,Senior Care Community,Senior Care Community,22583.0,None,0.0,None,0.0,95.0,161.0,1981360.0,0.0,743706.0,1237654.0,False,Compliant,70.92
NonResidential,Small- and Mid-Sized Office,Solid Ground,1501 N. 45th ST.,98103.0,4083300310,4,LAKE UNION,47.66117,-122.3391,1997,0.0,3,31686,7358,24328,"Food Service, Library, Office, Parking",Office,25927.0,Parking,6750.0,Food Service,3743.0,35.0,228.5,2305643.5,0.0,2305643.0,0.0,False,Compliant,16.07
NonResidential,Small- and Mid-Sized Office,Lake Union Place,1914 N 34th Street,98103.0,4083306580,4,LAKE UNION,47.6483,-122.33438,1981,1.0,3,26694,6034,20660,"Office, Parking",Office,24914.0,Parking,4720.0,None,0.0,92.0,90.80000305,720171.0,0.0,720171.0,0.0,False,Compliant,5.02
NonResidential,Warehouse,Hansen Bros.,10750 Aurora Ave N,98133.0,6300000010,5,NORTHWEST,47.70833,-122.34429,1972,1.0,1,29400,0,29400,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,25000.0,None,0.0,None,0.0,69.0,28.60000038,227509.5,0.0,227509.0,0.0,False,Compliant,1.59
NonResidential,Hotel,Georgetown Inn,6100 Corson Ave South,98108.0,6920700025,2,GREATER DUWAMISH,47.54774,-122.32091,1992,1.0,3,22452,0,22452,Hotel,Hotel,22452.0,None,0.0,None,0.0,85.0,107.0,1244150.0,0.0,524385.0,719765.0,False,Compliant,41.88
NonResidential,Other,192741-University,4500 University Way Ne,98105.0,8816400105,4,NORTHEAST,47.66148,-122.31279,1912,1.0,2,25767,0,25767,Bank Branch,Bank Branch,17434.0,None,0.0,None,0.0,22.0,284.7999878,1581352.75,0.0,1581352.0,0.0,False,Compliant,11.02
NonResidential,Retail Store,4518 University,4518 University Way NE,98105.0,8816400135,4,NORTHEAST,47.66188,-122.31279,1953,1.0,4,33910,0,33910,"Office, Retail Store",Retail Store,14585.0,Office,14462.0,None,0.0,75.0,157.3000031,1822834.25,0.0,1270124.0,552710.0,False,Compliant,38.21
NonResidential,Worship Facility,University Christian Church,4731 15TH AVE. NE,98105.0,8816400210,4,NORTHEAST,47.6645,-122.31224,1927,1.0,2,78401,0,78401,"K-12 School, Office, Supermarket/Grocery Store, Worship Facility",Worship Facility,62400.0,Office,9940.0,K-12 School,4960.0,73.0,58.0,2462408.25,0.0,939974.0,1522434.0,False,Compliant,87.41
NonResidential,Warehouse,Mariner Square LLC,1900 N Northlake Way,98103.0,4083307185,4,LAKE UNION,47.64748,-122.33435,1979,1.0,2,78716,0,78716,"Non-Refrigerated Warehouse, Office, Other, Retail Store",Non-Refrigerated Warehouse,41275.0,Office,29399.0,Retail Store,6278.0,38.0,152.5,4103800.75,0.0,3680806.0,422994.0,False,Compliant,48.13
NonResidential,K-12 School,St. Benedict School,4811 Wallingford Ave. N.,98103.0,4083800835,4,LAKE UNION,47.66389,-122.33692,1910,1.0,2,33300,0,33300,K-12 School,K-12 School,30740.0,None,0.0,None,0.0,92.0,77.30000305,1594734.0,0.0,335907.0,1258827.0,False,Compliant,69.2
NonResidential,Supermarket / Grocery Store,70500869 -- Wallingford,1801 North 45th Street,98103.0,4083802815,4,LAKE UNION,47.66185,-122.33594,1957,1.0,1,28808,0,28808,Supermarket/Grocery Store,Supermarket/Grocery Store,31174.0,None,0.0,None,0.0,29.0,694.0,9232576.0,0.0,5713530.0,3519045.0,False,Compliant,226.73
